price,brand_chevrolet,brand_dodge,brand_ford,brand_nissan
2899,0,0,1,0
5350,0,1,0,0
25000,0,0,1,0
27700,1,0,0,0
5700,0,1,0,0
7300,1,0,0,0
14600,1,0,0,0
5250,0,0,1,0
10400,0,1,0,0
31900,1,0,0,0
20700,0,0,1,0
5210,0,0,1,0
38100,0,0,1,0
15000,1,0,0,0
6180,0,0,1,0
20800,0,0,1,0
4190,0,0,1,0
13000,0,0,1,0
29800,1,0,0,0
5330,0,0,1,0
13000,0,0,1,0
19200,1,0,0,0
7320,0,0,1,0
7000,0,0,1,0
30500,1,0,0,0
6330,0,0,1,0
55000,0,0,1,0
19000,1,0,0,0
5580,0,1,0,0
54000,0,0,1,0
7760,0,0,1,0
17800,1,0,0,0
6650,0,0,1,0
18600,1,0,0,0
4340,0,0,1,0
4430,0,0,1,0
4140,0,0,1,0
18300,1,0,0,0
4640,0,0,1,0
24000,0,0,1,0
14900,1,0,0,0
4140,0,0,1,0
11500,0,0,1,0
9110,0,0,1,0
9300,0,0,1,0
39800,0,1,0,0
15110,0,0,1,0
34000,0,0,1,0
26502,1,0,0,0
5990,0,0,1,0
13600,0,0,1,0
10780,0,0,1,0
13800,0,0,1,0
7070,0,0,1,0
8700,0,0,1,0
18003,1,0,0,0
8530,0,0,1,0
23100,0,1,0,0
7000,0,0,1,0
17000,0,0,1,0
34002,1,0,0,0
6980,0,0,1,0
25000,0,1,0,0
20802,1,0,0,0
9200,0,0,1,0
24802,1,0,0,0
7070,0,0,1,0
28500,0,0,1,0
23500,0,0,1,0
23505,1,0,0,0
10940,0,0,1,0
32100,0,0,1,0
53000,1,0,0,0
6830,0,0,1,0
11900,0,1,0,0
26414,1,0,0,0
4160,0,1,0,0
19405,1,0,0,0
5690,0,1,0,0
24005,1,0,0,0
5090,0,1,0,0
32012,1,0,0,0
6800,0,1,0,0
4260,0,1,0,0
0,0,1,0,0
31802,1,0,0,0
7210,0,1,0,0
0,0,1,0,0
28402,1,0,0,0
6800,0,1,0,0
10780,0,1,0,0
6700,0,0,1,0
20000,1,0,0,0
19900,0,0,1,0
37000,1,0,0,0
4040,0,1,0,0
22300,0,0,1,0
31200,1,0,0,0
4290,0,1,0,0
22800,0,0,1,0
4160,0,1,0,0
18500,0,0,1,0
6060,0,1,0,0
28800,0,0,1,0
6140,0,1,0,0
21000,0,0,1,0
6760,0,1,0,0
25800,0,0,1,0
5470,0,1,0,0
14600,0,0,1,0
24502,1,0,0,0
15110,0,0,1,0
7900,0,0,1,0
27305,1,0,0,0
15290,0,0,1,0
26500,0,0,1,0
25502,1,0,0,0
7320,0,0,1,0
3800,1,0,0,0
24502,1,0,0,0
4140,0,0,1,0
1400,0,1,0,0
4160,0,0,1,0
24503,1,0,0,0
15840,0,0,1,0
20500,0,0,1,0
21003,1,0,0,0
4200,0,0,1,0
17400,0,0,1,0
32001,1,0,0,0
0,0,0,1,0
15700,0,0,1,0
31009,1,0,0,0
3740,0,0,1,0
5000,0,1,0,0
31002,1,0,0,0
3160,0,0,1,0
8600,0,1,0,0
6000,1,0,0,0
12990,0,0,1,0
25,1,0,0,0
4410,0,0,1,0
22500,1,0,0,0
7420,0,0,1,0
13500,0,0,1,0
15500,1,0,0,0
3540,0,0,1,0
17000,0,0,1,0
45500,1,0,0,0
4130,0,0,1,0
15700,0,0,1,0
45500,1,0,0,0
4130,0,0,1,0
15500,0,1,0,0
16300,1,0,0,0
4530,0,0,1,0
15600,0,1,0,0
45500,1,0,0,0
4100,0,0,1,0
18200,0,1,0,0
10200,1,0,0,0
4080,0,0,1,0
5700,0,0,1,0
10200,1,0,0,0
5000,0,0,1,0
1700,0,0,1,0
3650,0,0,1,0
10500,0,1,0,0
43500,1,0,0,0
4610,0,1,0,0
3450,0,0,1,0
38500,1,0,0,0
6810,0,0,1,0
2900,0,0,1,0
43500,1,0,0,0
4450,0,0,1,0
5800,0,0,1,0
16500,1,0,0,0
4240,0,1,0,0
26500,0,0,1,0
13700,1,0,0,0
8600,0,0,1,0
8000,0,0,1,0
14200,1,0,0,0
7040,0,0,1,0
4700,0,0,1,0
30851,1,0,0,0
4880,0,0,1,0
14500,0,1,0,0
7600,1,0,0,0
13270,0,0,1,0
12800,0,0,1,0
33000,1,0,0,0
9280,0,0,1,0
900,0,0,1,0
7560,0,0,1,0
19500,0,0,1,0
17100,1,0,0,0
8020,0,0,1,0
10300,0,0,1,0
22600,1,0,0,0
10480,0,0,1,0
10300,0,0,1,0
22700,1,0,0,0
7410,0,0,1,0
10300,0,0,1,0
10300,1,0,0,0
7570,0,0,1,0
67000,0,1,0,0
18900,1,0,0,0
12560,0,0,1,0
33000,0,1,0,0
18300,1,0,0,0
11760,0,0,1,0
31700,0,1,0,0
25,0,1,0,0
0,0,0,1,0
7340,0,0,1,0
0,1,0,0,0
725,0,0,1,0
7400,0,0,1,0
1800,1,0,0,0
50,1,0,0,0
720,0,0,1,0
22800,0,0,1,0
2500,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
7320,1,0,0,0
22809,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
25,1,0,0,0
2320,0,1,0,0
23702,0,0,1,0
0,0,0,1,0
0,0,0,1,0
25,1,0,0,0
24800,0,0,1,0
0,0,0,1,0
0,0,0,1,0
225,1,0,0,0
26900,1,0,0,0
27003,0,0,1,0
0,0,0,1,0
350,0,0,1,0
0,1,0,0,0
3920,0,0,1,0
23100,0,0,1,0
0,1,0,0,0
8850,0,0,1,0
18712,0,0,1,0
0,0,0,1,0
0,0,0,1,0
25,1,0,0,0
3440,0,0,1,0
50412,0,0,1,0
25,0,0,1,0
950,0,0,1,0
2725,1,0,0,0
3790,0,0,1,0
40514,0,0,1,0
0,0,0,1,0
0,0,0,1,0
3830,0,0,1,0
43402,0,0,1,0
25,1,0,0,0
10630,0,0,1,0
43009,0,0,1,0
4600,0,0,1,0
3830,0,0,1,0
53500,0,0,1,0
25,0,0,1,0
25,0,0,1,0
6490,0,0,1,0
51502,0,0,1,0
250,0,0,1,0
25,0,0,1,0
0,1,0,0,0
9210,0,0,1,0
58500,0,0,1,0
